Hazards-Matrix
(   1D12
    1-1     Room-Furnish() & Wandering-Monsters()
    2-2     Bridge()
    3-5     Apparition()
    6-6     Well()
    7-7     Moths()
    8-12    (   1D12
                1-1     Wandering-Monsters()
                2-2     Non-Player-Character()
                3-3     Chasm()
                4-4     Statue()
                5-5     &   ;Rats-or-Bats
                        (   1D12
                            1-6     Rats()
                            7-12    Bats()
                        )
                6-6     Mould()
                7-7     Mushrooms()
                8-8     Grate()
                9-9     Pool()
               10-10    Magic-Circle()
               11-11    Trapdoor()
               12-12    Throne()
            )
)

Bridge
(   1D12
    1-12    Bridge & "Bridge (T 9, W 7)" & Wandering-Monsters()
)

Apparition
(   1D12
    1-12    Apparition & "Apparition" & "- or -" & Wandering-Monsters()
)

Well
(   1D12
    1-12    Well & "Well:" &
            (   1D12
                1-1     "Deadly Poison: Spend a Fate Point or die"
                2-6     "Poison: Loss 1 Wound or spend a Fate Point"
                7-10    &   ;Sick
                        (   2D12
                            2-2     "Sick: WS -2 for 2 turns"
                            3-3     "Sick: WS -2 for 3 turns"
                            4-4     "Sick: WS -2 for 4 turns"
                            5-5     "Sick: WS -2 for 5 turns"
                            6-6     "Sick: WS -2 for 6 turns"
                            7-7     "Sick: WS -2 for 7 turns"
                            8-8     "Sick: WS -2 for 8 turns"
                            9-9     "Sick: WS -2 for 9 turns"
                            10-10   "Sick: WS -2 for 10 turns"
                            11-11   "Sick: WS -2 for 11 turns"
                            12-12   "Sick: WS -2 for 12 turns"
                            13-13   "Sick: WS -2 for 13 turns"
                            14-14   "Sick: WS -2 for 14 turns"
                            15-15   "Sick: WS -2 for 15 turns"
                            16-16   "Sick: WS -2 for 16 turns"
                            17-17   "Sick: WS -2 for 17 turns"
                            18-18   "Sick: WS -2 for 18 turns"
                            19-19   "Sick: WS -2 for 19 turns"
                            20-20   "Sick: WS -2 for 20 turns"
                            21-21   "Sick: WS -2 for 21 turns"
                            22-22   "Sick: WS -2 for 22 turns"
                            23-23   "Sick: WS -2 for 23 turns"
                            24-24   "Sick: WS -2 for 24 turns"
                        )
                11-12   "No Effect"
            )
)

Moths
(   1D12
    1-12    Moths &
            (   1D12
                1-2     "Moths (1 Wound)"
                3-4     "Moths (2 Wounds)"
                5-6     "Moths (3 Wounds)"
                7-8     "Moths (4 Wounds)"
                9-10    "Moths (5 Wounds)"
                11-12   "Moths (6 Wounds)"
            )
)

Non-Player-Character
(   1D12
    1-3     Maiden & "Maiden (SP 6, T 3, W 2)" & Wandering-Monsters()
    4-6     Witch & "Witch (WS 7, T 4, W 2)" & "- or -" & Wandering-Monsters()
    7-9     Man-at-Arms & "Man-at-Arms (Henchman: SP 6, WS 7, T 8, W 3)" & Wandering-Monsters()
    10-12   Rogue & "Rogue (Sergeand: SP 6, WS 8, T 10, W 3, F 1)" & "- or -" & Wandering-Monsters()
)

Chasm
(   1D12
    1-12    Chasm & "Chasm" & Wandering-Monsters() & Treasure-Chest()
)

Statue
(   1D12
    1-12    Statue &
            (   1D12
                1-2     "Statue: Curse"
                3-6     "Animated Statue (SP 6, WS 9, T 8, W 8, DD 5)"
                7-11    "Statue: Trasformation to Skaven Warlord Sentry"
                12-12   "Statue: Nothing Happens"
            )
)

Rats
(   1D12
    1-12    Rats &
            (   2D12
                2-2     "10 Rats"
                3-3     "15 Rats"
                4-4     "20 Rats"
                5-5     "25 Rats"
                6-6     "30 Rats"
                7-7     "35 Rats"
                8-8     "40 Rats"
                9-9     "45 Rats"
                10-10   "50 Rats"
                11-11   "55 Rats"
                12-12   "60 Rats"
                13-13   "65 Rats"
                14-14   "70 Rats"
                15-15   "75 Rats"
                16-16   "80 Rats"
                17-17   "85 Rats"
                18-18   "90 Rats"
                19-19   "95 Rats"
                20-20   "100 Rats"
                21-21   "105 Rats"
                22-22   "110 Rats"
                23-23   "115 Rats"
                24-24   "120 Rats"
            )
)

Bats
(   1D12
    1-12    Bats &
            (   1D12
                1-2     "Bats (1 Wound)"
                3-4     "Bats (2 Wounds)"
                5-6     "Bats (3 Wounds)"
                7-8     "Bats (4 Wounds)"
                9-10    "Bats (5 Wounds)"
                11-12   "Bats (6 Wounds)"
            )
)
      
Mould
(   1D12
    1-12    Mould & "Mould"
)

Mushrooms
(   1D12
    1-12    Mushrooms &
            (   1D12
                1-1     "1 Mushroom:"
                2-2     "2 Mushrooms:"
                3-3     "3 Mushrooms:"
                4-4     "4 Mushrooms:"
                5-5     "5 Mushrooms:"
                6-6     "6 Mushrooms:"
                7-7     "7 Mushrooms:"
                8-8     "8 Mushrooms:"
                9-9     "9 Mushrooms:"
                10-10   "10 Mushrooms:"
                11-11   "11 Mushrooms:"
                12-12   "12 Mushrooms:"
            ) &
            (   1D12
                1-2     "Deadly Poison (Rat Poison)"
                3-4     "Sleeping Mushrooms"
                5-6     "Polka Dots"
                7-8     "Strenght (DD +1)"
                9-10    "Speed (SP +4 / *2)"
                11-12   "Healing"
            )
)

Grate
(   1D12
    1-12    Grate & "Grate" & Room()
)

Pool
(   1D12
    1-12    Pool & "Pool"
)

Magic-Circle
(   1D12
    1-12    Magic-Circle & 
            (   1D12
                1-1     "Magic Cricle: Cursed"
