Passage-Length
(   1D12
    1-2     Section1
    3-8     Section2
    9-12    Section3
)

Passage-End
(   1D12
    1-4     T-Junction
    5-6     Dead-End
    7-9     Right-Turn
   10-12    Left-Turn
)

Passage-Feature
(   1D12
    1-2     Wandering-Monsters
    3-6     Nothing
    7-9     Door1
    10-12   Door2
)

Room-Type
(   1D12
    1-2     Normal
    3-4     Small
    5-6     Hazard
    7-8     Lair
    9-11    Large
    12-12   (   1D12
                1-2     Normal
                3-4     Small
                5-6     Hazard
                7-8     Lair
                9-10    Large
                12-12   Quest
            )
)

Room-Doors
(   1D12
    1-5     None
    6-10    Door1
    11-12   Door2
)
    
Secret-Doors
(   1D12
    1-1     None ;"1-Dungeon-Counter"
    2-6     None
    7-12    Door1
)

Room-or-Passage
(   1D6
    1-3     Room
    4-6     Passage
)

Normal
(   1D12
    1-12    Room-Furnish() & Hidden-Treasure()
)

Small
(   1D12
    1-12    Tomb & "Tomb"
)

Hazard
(   1D12
    1-12    Hazards-Matrix() & Hidden-Treasure()
)

Lair
(   1D12
    1-12    Chest & Lairs-Matrix() & Treasure-Chest() & Hidden-Treasure()
)

Large
(   1D12
    1-12    Tomb & "Tomb"
)

Quest
(   1D12
    1-12    Stairs_and_Chest & "Stairs Down" & "2 Ogres" & 
            "Treasure Chest: " & "200 Gold Crowns" & "Healing Potion" &
            "8 Arrows" & "Magic Sword (DD +1)" & Hidden-Treasure()
)



