Wandering-Monsters
(   1D12
    1-2     "1 Chaos Thug Sentry (20 Gold Crowns)"
    3-4     "2 Chaos Thugs (15 Gold Crowns)"
    5-6     "1 Chaos Thug, 1 Chaos Thug Sentry (30 Gold Crowns)"
    7-8     "3 Chaos Thugs (25 Gold Crowns)"
    9-9     "2 Chaos Thugs, 1 Chaos Thug Sentry (40 Gold Crowns)"
    10-10   "4 Chaos Thugs (35 Gold Crowns)"
    11-11   "3 Chaos Thugs, 1 Chaos Thug Sentry (50 Gold Crowns)"
    12-12   "1 Chaos Warrior, 2 Chaos Thugs (60 Gold Crowns)"
)

Lairs-Matrix
(   1D12
    1-1     "2 Chaos Thugs, 1 Chaos Thug Sentry (40 Gold Crowns)"
    2-2     "4 Chaos Thugs (35 Gold Crowns)"
    3-3     "1 Chaos Warrior, 1 Chaos Thug (60 Gold Crowns)"
    4-4     "3 Chaos Thugs, 1 Chaos Thug Sentry (50 Gold Crowns)"
    5-5     "1 Chaos Warrior, 1 Chaos Thug Sentry (70 Gold Crowns)"
    6-6     "1 Chaos Warrior, 2 Chaos Thugs (60 Gold Crowns)"
    7-7     "4 Chaos Thugs, 1 Chaos Thug Sentry (60 Gold Crowns)"
    8-8     "6 Chaos Thugs (50 Gold Crowns)"
    9-9     "1 Chaos Warriors, 2 Chaos Thugs, 1 Chaos Thug Sentry (90 Gold Crowns)"
    10-10   "6 Chaos Thugs, 1 Chaos Thug Sentry (80 Gold Crowns)"
    11-11   "8 Chaos Thugs (70 Gold Crowns)"
    12-12   "1 Chaos Warriors, 6 Chaos Thugs (100 Gold Crowns)"
)

Quest-Rooms-Matrix
(   1D12
    1-1     "4 Chaos Thugs, 1 Chaos Warrior, 1 Chaos Thug Sentry (110 Gold Crowns)"
    2-2     "6 Chaos Thugs, 1 Chaos Warrior (100 Gold Crowns)"
    3-3     "10 Chaos Thugs (90 Gold Crowns)"
    4-4     "1 Chaos Champion, 4 Chaos Thugs (125 Gold Crowns)"
    5-5     "2 Chaos Warriors, 2 Chaos Thugs, 1 Chaos Thug Sentry  (130 Gold Crowns)"
    6-6     "1 Chaos Warrior, 6 Chaos Thugs, 1 Chaos Thug Sentry (130 Gold Crowns)"
    7-7     "10 Chaos Warriors, 1 Chaos Thug Sentry (130 Gold Crowns)"
    8-8     "1 Chaos Champion, 1 Chaos Warrior, 2 Chaos Thugs (155 Gold Crowns)"
    9-9     "3 Chaos Warriors, 1 Chaos Thug Sentry (150 Gold Crowns)"
    10-10   "1 Chaos Warrior, 8 Chaos Thugs, 1 Chaos Thug Sentry (150 Gold Crowns)"
    11-11   "12 Chaos Thugs, 1 Chaos Thug Sentry (140 Gold Crowns)"
    12-12   "1 Chaos Champion, 1 Chaos Warrior, 4 Chaos Thugs (175 Gold Crowns)"
)

