Wandering-Monsters
(   1D12
    1-2     "2 Chaos Thugs (20 Gold Crowns)"
    3-4     "2 Chaos Thugs (25 Gold Crowns)"
    5-6     "3 Chaos Thugs (30 Gold Crowns)"
    7-8     "3 Chaos Thugs (35 Gold Crowns)"
    9-9     "4 Chaos Thugs (40 Gold Crowns)"
    10-10   "1 Chaos Warrior (45 Gold Crowns)"
    11-11   "1 Chaos Warrior, 1 Chaos Thug (50 Gold Crowns)"
    12-12   "6 Chaos Thugs (60 Gold Crowns)"
)

Lairs-Matrix
(   1D12
    1-1     "4 Chaos Thugs (40 Gold Crowns)"
    2-2     "4 Chaos Thugs (45 Gold Crowns)"
    3-3     "5 Chaos Thugs (50 Gold Crowns)"
    4-4     "5 Chaos Thugs (55 Gold Crowns)"
    5-5     "4 Chaos Thugs, 1 Chaos Thug Sentry (60 Gold Crowns)"
    6-6     "4 Chaos Thugs, 1 Chaos Thug Sentry (65 Gold Crowns)"
    7-7     "2 Chaos Thugs, 2 Chaos Thug Sentrys (70 Gold Crowns)"
    8-8     "5 Chaos Thugs, 1 Chaos Thug Sentry (75 Gold Crowns)"
    9-9     "6 Chaos Thugs, 1 Chaos Thug Sentry (80 Gold Crowns)"
    10-10   "1 Chaos Warrior, 2 Chaos Thugs, 1 Chaos Thug Sentry (85 Gold Crowns)"
    11-11   "1 Chaos Warrior, 3 Chaos Thugs, 1 Chaos Thug Sentry (90 Gold Crowns)"
    12-12   "6 Chaos Thugs, 2 Chaos Thug Sentries (100 Gold Crowns)"
)

Quest-Rooms-Matrix
(   1D12
    1-1     "6 Chaos Thugs, 2 Chaos Thug Sentries (100 Gold Crowns)"
    2-2     "2 Chaos Warriors, 1 Chaos Thug Sentry (105 Gold Crowns)"
    3-3     "1 Chaos Warrior, 5 Chaos Thugs, 1 Chaos Thug Sentry (110 Gold Crowns)"
    4-4     "2 Chaos Warriors, 2 Chaos Thug Sentries (115 Gold Crowns)"
    5-5     "1 Chaos Champion, 1 Chaos Thugs, 1 Chaos Thug Sentry (120 Gold Crowns)"
    6-6     "1 Chaos Champion, 2 Chaos Thugs, 1 Chaos Thug Sentry (125 Gold Crowns)"
    7-7     "1 Chaos Champion, 3 Chaos Thugs, 1 Chaos Thug Sentry (130 Gold Crowns)"
    8-8     "1 Chaos Champion, 4 Chaos Thugs, 1 Chaos Thug Sentry (135 Gold Crowns)"
    9-9     "1 Chaos Champion, 2 Chaos Thugs, 2 Chaos Thug Sentries (140 Gold Crowns)"
    10-10   "3 Chaos Warriors, 1 Chaos Thug Sentry (145 Gold Crowns)"
    11-11   "2 Chaos Warriors, 4 Chaos Thugs, 1 Chaos Thug Sentry (150 Gold Crowns)"
    12-12   "1 Chaos Champion, 1 Chaos Warriors, 1 Chaos Thugs, 1 Chaos Thug Sentry (160 Gold Crowns)"
)

