Wandering-Monsters
(   1D12
    1-2     "2 Skaven Warriors (10 Gold Crowns)"
    3-4     "1 Skaven Champion (20 Gold Crowns)"
    5-6     "1 Skaven Warrior, 1 Skaven Champion (20 Gold Crowns)"
    7-8     "1 Night Runner (30 Gold Crowns)"
    9-9     "1 Gutter Runner, 2 Skaven Warriors (30 Gold Crowns)"
    10-10   "1 Night Runner, 1 Skaven Warrior (40 Gold Crowns)"
    11-11   "1 Night Runner, 2 Skaven Warrior (40 Gold Crowns)"
    12-12   "2 Skaven Warriors, 2 Skaven Champions (50 Gold Crowns)"
)

Lairs-Matrix
(   1D12
    1-1     "4 Skaven Warriors (30 Gold Crowns)"
    2-2     "2 Skaven Warriors, 1 Skaven Champion (40 Gold Crowns)"
    3-3     "3 Skaven Warriors, 1 Skaven Sentry (40 Gold Crowns)"
    4-4     "3 Skaven Warriors, 1 Skaven Champion (50 Gold Crowns)"
    5-5     "4 Skaven Warriors, 1 Skaven Sentry, 1 Skaven Champion (40 Gold Crowns)"
    6-6     "4 Skaven Warriors, 1 Skaven Champion (50 Gold Crowns)"
    7-7     "2 Gutter Runners, 1 Skaven Sentry (60 Gold Crowns)"
    8-8     "2 Gutter Runners, 1 Skaven Champion (70 Gold Crowns)"
    9-9     "4 Skaven Warriors, 1 Skaven Sentry, 1 Skaven Champion (60 Gold Crowns)" & Specialist-Monster()
    10-10   "2 Night Runners, 2 Skaven Warriors (80 Gold Crowns)" & Specialist-Monster()
    11-11   "1 Night Runner, 1 Skaven Sentry, 3 Skaven Warriors (100 Gold Crowns)" & Specialist-Monster()
    12-12   "3 Skaven Champions, 4 Skaven Warriors (100 Gold Crowns)" & Specialist-Monster()
)

Quest-Rooms-Matrix
(   1D12
    1-1     "4 Skaven Warriors, 2 Night Runners (80 Gold Crowns)"
    2-2     "5 Skaven Warriors, 2 Skaven Champions (100 Gold Crowns)"
    3-3     "2 Night Runners, 2 Skaven Champions (120 Gold Crowns)"
    4-4     "2 Night Runners, 3 Skaven Champions (100 Gold Crowns)"
    5-5     "1 Jezzailach, 4 Skaven Warriors, 1 Skaven Champion (120 Gold Crowns)"
    6-6     "3 Skaven Sentries, 3 Gutter Runners (130 Gold Crowns)"
    7-7     "1 Skaven Warlord, 1 Skaven Champion, 2 Skaven Warriors (140 Gold Crowns)"
    8-8     "1 Warpfire Team, 4 Skaven Warriors (100 Gold Crowns)"
    9-9     "6 Skaven Warriors, 4 Skaven Champions (120 Gold Crowns)" & Specialist-Monster()
    10-10   "3 Night Runners, 5 Skaven Warriors (140 Gold Crowns)" & Specialist-Monster()
    11-11   "1 Jezzailach, 4 Skaven Warriors, 2 Skaven Champions (160 Gold Crowns)" & Specialist-Monster()
    12-12   "1 Warpfire Team, 6 Skaven Warriors (160 Gold Crowns)" & Specialist-Monster()
)

Specialist-Monster
(   1D12
    1-7     None
    8-8     Clan-Pestilens-Plague-Monk()
    9-9     Clan-Skryre-White-Skaven-Sorcerer()
    10-10   Clan-Eshin-Assassin()
    11-11   Clan-Mors-Warlord()
    12-12   Clan-Pestilens-Plague-Censer-Bearer()
)
