Hidden-Treasure
(   2D12
    2-6     "Hidden Treasure:" & "1 Dungeon-Counter"
    7-16    Nothing
   17-23    "Hidden Treasure:" & Gold-Treasure()
   24-24    "Hidden Treasure:" & Magic-Treasure()
)

Gold-Treasure
(   1D12
    1-1     "5 Gold Crowns"
    2-2     "10 Gold Crowns"
    3-3     "15 Gold Crowns"
    4-4     "20 Gold Crowns"
    5-5     "25 Gold Crowns"
    6-6     "30 Gold Crowns"
    7-7     "35 Gold Crowns"
    8-8     "40 Gold Crowns"
    9-9     "45 Gold Crowns"
    10-10   "50 Gold Crowns"
    11-11   "55 Gold Crowns"
    12-12   "60 Gold Crowns"
)

Magic-Treasure
(   2D12
    2-2     Dawnstone()
    3-3     Amulet()
    4-4     Magic-Bag()
    5-6     Magic-Wand()
    7-7     Magic-Ring()
    8-8     Shield-or-Helm()
   9-9      Magic-Weapon()
   10-11    Magical-Scroll()
   12-12    Jewel()
   13-14    Magic-Potion()
   15-15    Arrows-or-Bolts()
   16-17    Magic-Bow() & Special-Ability()
   18-19    Magic-Sword()
   20-21    Magic-Armour()
   22-23    Rope-or-Cloak()
   24-24    Talisman()
)

Dawnstone
(   1D12
    1-1     "Dawnstone (1 Fate Point)"
    2-2     "Dawnstone (2 Fate Points)"
    3-3     "Dawnstone (3 Fate Points)"
    4-4     "Dawnstone (4 Fate Points)"
    5-5     "Dawnstone (5 Fate Points)"
    6-6     "Dawnstone (6 Fate Points)"
    7-7     "Dawnstone (7 Fate Points)"
    8-8     "Dawnstone (8 Fate Points)"
    9-9     "Dawnstone (9 Fate Points)"
    10-10   "Dawnstone (10 Fate Points)"
    11-11   "Dawnstone (11 Fate Points)"
    12-12   "Dawnstone (12 Fate Points)"
)

Amulet
(   1D12
    1-2     "Amulet of Iron"
    3-5     "Amulet of Protection"
    6-7     "Amulet of Courage"
    8-10    & ;Amulet of Warding
            (   1D12
                1-1     "Amulet of Warding (Protection from Chaos Warriors)"
                2-3     "Amulet of Warding (Protection from Chaos Creatures)"
                4-5     "Amulet of Warding (Protection from Orcs, Goblins)"
                6-7     "Amulet of Warding (Protection from Ogres, Trolls)"
                8-9     "Amulet of Warding (Protection from Skaven)"
                10-10   "Amulet of Warding (Protection from Undead)"
                11-11   "Amulet of Warding (Protection from Fimir)"
                12-12   "Amulet of Warding (Protection from Daemons)"
            )
    11-12   "Amulet of Health"
)

Magic-Bag
(   1D12
    1-3     "Bag of Lightness"
    4-6     "Bag of Treasure"
    7-9     & ;Bag of Wizardry
            (   1D12
                1-1     "Bag of Wizardry (1 Spell Component)"
                2-2     "Bag of Wizardry (2 Spell Component)"
                3-3     "Bag of Wizardry (3 Spell Component)"
                4-4     "Bag of Wizardry (4 Spell Component)"
                5-5     "Bag of Wizardry (5 Spell Component)"
                6-6     "Bag of Wizardry (6 Spell Component)"
                7-7     "Bag of Wizardry (7 Spell Component)"
                8-8     "Bag of Wizardry (8 Spell Component)"
                9-9     "Bag of Wizardry (9 Spell Component)"
                10-10   "Bag of Wizardry (10 Spell Component)"
                11-11   "Bag of Wizardry (11 Spell Component)"
                12-12   "Bag of Wizardry (12 Spell Component)"
            )
    10-12   "Rat Bag"
)

Magic-Wand
(   1D12
    1-6    "Bright Wand:" & Bright-Spell() & Charges()
    7-12   "Light Wand:" & Light-Spell() & Charges()
)

Magic-Ring
(   1D12
    1-1     "Magic Ring of Protection (Level 1)"
    2-2     "Magic Ring of Protection (Level 2)"
    3-3     "Magic Ring of Protection (Level 3)"
    4-4     "Magic Ring of Magic Protection (Level 1)"
    5-5     "Magic Ring of Magic Protection (Level 2)"
    6-6     "Magic Ring of Magic Protection (Level 3)"
    7-7     & ;Ring of Fate
            (   1D12
                1-6     "Magic Ring of Fate (2 Fate-Points)"
                7-12    "Magic Ring of Fate (3 Fate-Points)"
            )
    8-9     "Magic Ring of Speed (Level 1)"
    10-11   "Magic Ring of Speed (Level 2)"
    12-12   "Magic Ring of Greatness"
)

Shield-or-Helm
(   1D12
    1-3     "Simple Magic Shield (Sp 0, BS -1, T +1)"
    4-4     "Magical Greatshield (Sp -1, BS -2, T +2)"
    5-5     "Simple Magic Helm (Sp 0, BS 0, T +1)"
    6-6     "Dwarven Helm (Sp 0, BS -1, T +2)"
