Wandering-Monsters
(   1D12
    1-2     "2 Zombies (10 Gold Crowns)"
    3-4     "1 Skeleton (20 Gold Crowns)"
    5-6     "1 Skeleton, 1 Zombie (20 Gold Crowns)"
    7-8     "1 Ghoul, 1 Zombie (30 Gold Crowns)"
    9-9     "2 Ghouls (30 Gold Crowns)"
    10-10   "2 Skeletons (40 Gold Crowns)"
    11-11   "1 Skeleton, 3 Zombies (40 Gold Crowns)"
    12-12   "2 Skeletons, 2 Zombies (50 Gold Crowns)"
)

Lairs-Matrix
(   1D12
    1-1     "2 Skeletons, 2 Zombies (20 Gold Crowns)"
    2-2     "1 Ghoul, 2 Zombies (30 Gold Crowns)"
    3-3     "1 Skeleton, 3 Zombies (30 Gold Crowns)"
    4-4     "1 Ghoul, 3 Zombies (50 Gold Crowns)"
    5-5     "1 Ghoul, 2 Skeletons (40 Gold Crowns)"
    6-6     "1 Ghoul, 4 Zombies (50 Gold Crowns)"
    7-7     "2 Zombies, 2 Skeletons (60 Gold Crowns)"
    8-8     "3 Ghouls (70 Gold Crowns)"
    9-9     "1 Undead Champion, 2 Zombies (60 Gold Crowns)" & Specialist-Monster()
    10-10   "4 Skeletons (80 Gold Crowns)" & Specialist-Monster()
    11-11   "4 Ghouls (100 Gold Crowns)" & Specialist-Monster()
    12-12   "1 Wight, 2 Zombies (100 Gold Crowns)" & Specialist-Monster()
)

Quest-Rooms-Matrix
(   1D12
    1-1     "3 Skeletons, 4 Zombies (70 Gold Crowns)" & Specialist-Monster()
    2-2     "3 Ghouls, 4 Zombies (80 Gold Crowns)" & Specialist-Monster()
    3-3     "2 Skeletons, 3 Ghouls (100 Gold Crowns)" & Specialist-Monster()
    4-4     "1 Undead Champion, 6 Zombies (80 Gold Crowns)" & Specialist-Monster()
    5-5     "1 Undead Champion, 2 Skeletons, 2 Zombies (90 Gold Crowns)" & Specialist-Monster()
    6-6     "1 Wight, 4 Zombies (100 Gold Crowns)" & Specialist-Monster()
    7-7     "1 Wight, 2 Zombies, 1 Skeleton (120 Gold Crowns)" & Specialist-Monster()
    8-8     "1 Undead Champion, 4 Skeletons (100 Gold Crowns)" & Specialist-Monster()
    9-9     "1 Undead Champion, 4 Zombies, 2 Ghouls (120 Gold Crowns)" & Specialist-Monster()
    10-10   "1 Wight, 3 Skeletons (140 Gold Crowns)" & Specialist-Monster()
    11-11   "4 Skeletons, 6 Zombies (150 Gold Crowns)" & Specialist-Monster()
    12-12   "3 Skeletons, 3 Ghouls, 4 Zombies (160 Gold Crowns)" & Specialist-Monster()
)

Specialist-Monster
(   1D12
    1-7     Wandering-Monsters()
    8-8     Undead-Champion()
    9-9     Wight()
    10-10   Wight()
    11-11   Liche()
    12-12   Vampire()
)
