Door-Traps
(   1D12
    1-2     "Fighting Doorknobs! (Spot -, Disarm -, T 7, W 3, R 8, 3 DD)" & 
            "  to hit: 4+ at range 1-3, 6+ at range 4-8)"
    3-3     "Shock (Spot 8, Disarm 11)"
    4-5     "Poison Dart (Spot 9, Disarm 8)"
    6-6     "Spike (Spot 6, Disarm 7)"
    7-7     "Gouillotine (Spot 6, Disarm 8, 2 DD, Hand)"
    8-8     "Door Swings! (Spot 9, Disarm 10, 4 DD)"
    9-9     "Warp Door (Spot 11, Disarm 11)" &
            (   1D12
                1-3     "Warp Space for 0 rounds"
                4-6     "Warp Space for 1 round"
                7-9     "Warp Space for 2 rounds"
                10-12   "Warp Space for 3 rounds"
            )
    10-10   "Cage (Spot 10, Disarm 9, 3 DD)"
    11-11   "Screaming Door (Spot -, Disarm -)" & Wandering-Monsters()
    12-12   "Acid Spurt (Spot 10, Disarm 9, 5 DD)"
)
