; Sentinel V - salvage, supply crates and wargear.
;
; Sentinel V pays in Points, the scoring unit of Space Crusade: a squad's
; total decides its promotions between missions. Anything a Marine can carry
; off the deck is worth Points, and the better finds are worth keeping.

Hidden-Treasure
(   2D12
    2-6     "Hidden Salvage:" & "1 Objective-Counter"
    7-16    Nothing
   17-23    "Hidden Salvage:" & Salvage()
   24-24    "Hidden Salvage:" & Rare-Equipment()
)

Salvage
(   1D12
    1-1     "Stripped power cabling (5 Points)"
    2-2     "Ammunition hopper (10 Points)"
    3-3     "Sealed ration crate (15 Points)"
    4-4     "Intact cogitator bank (20 Points)"
    5-5     "Adeptus tool kit (25 Points)"
    6-6     "Promethium canisters (30 Points)"
    7-7     "Servo-skull, still logging (35 Points)"
    8-8     "Machine-spirit core (40 Points)"
    9-9     "Reliquary of the station shrine (45 Points)"
   10-10    "Sealed weapon crate (50 Points)"
   11-11    "Astropathic relay crystal (55 Points)"
   12-12    "Purity-sealed archeotech casing (60 Points)"
)

Rare-Equipment
(   2D12
    2-2     Relic()
    3-4     Field-Generator()
    5-6     Targeting-Array()
    7-8     Bionic()
    9-10    Armour-Upgrade()
   11-11    Heavy-Weapon()
   12-13    Data-Slate()
   14-16    Medicae()
   17-17    Grenades()
   18-19    Sidearm()
   20-21    Close-Combat-Weapon()
   22-24    Power-Armour()
)

Relic
(   1D12
    1-1     "Relic of the Chapter (1 Fate Point)"
    2-2     "Relic of the Chapter (2 Fate Points)"
    3-3     "Relic of the Chapter (3 Fate Points)"
    4-4     "Relic of the Chapter (4 Fate Points)"
    5-5     "Relic of the Chapter (5 Fate Points)"
    6-6     "Relic of the Chapter (6 Fate Points)"
    7-7     "Relic of the Chapter (7 Fate Points)"
    8-8     "Relic of the Chapter (8 Fate Points)"
    9-9     "Relic of the Chapter (9 Fate Points)"
   10-10    "Relic of the Chapter (10 Fate Points)"
   11-11    "Relic of the Chapter (11 Fate Points)"
   12-12    "Relic of the Chapter (12 Fate Points)"
)

Field-Generator
(   1D12
    1-3     "Refractor Field (T +1)"
    4-5     "Refractor Field (T +2)"
    6-6     "Conversion Field (T +3, blinds adjacent models on a 12)"
    7-9     "Rosarius (Psychic Protection, Level 1)"
   10-11    "Rosarius (Psychic Protection, Level 2)"
   12-12    "Displacer Field (1 automatic escape per mission)"
)

Targeting-Array
(   1D12
    1-6     "Targeter (BS +1)"
    7-8     "Auspex (spot hidden enemies on 4+)"
    9-9     "Infra-Sight (ignores darkness and smoke)"
   10-11    "Motion Tracker (no ambush may be sprung on the bearer)"
   12-12    "Cyclops Targeter (BS +2)"
)

Bionic
(   1D12
    1-3     "Bionic Arm (S +1)"
    4-5     "Bionic Legs (Sp +2)"
    6-6     "Bionic Eye (BS +1)"
    7-9     "Reinforced Ribcage (T +1)"
   10-11    "Bionic Heart (W +1)"
   12-12    "Black Carapace Relay (Sp +1, WS +1)"
)

Armour-Upgrade
(   1D12
    1-3     "Ceramite Plating (Sp 0, BS -1, T +1)"
    4-5     "Terminator Shoulder Guards (Sp -1, BS -2, T +2)"
    6-6     "Storm Shield (Sp 0, BS -2, T +2)"
   7-8     "Helm of the Chapter (Sp 0, BS 0, T +1)"
    9-9     "Iron Halo (Sp 0, BS 0, T +2)"
   10-11    "Reactive Plate (Sp 0, BS 0, T +1, S +1)"
   12-12    "Artificer Helm (Sp 0, BS -1, T +2)"
)

Heavy-Weapon
(   1D12
    1-3     "Heavy Bolter (R 40, DD 6, 3 shots)"
    4-5     "Missile Launcher (R 48, DD 7, blast)"
    6-8     "Assault Cannon (R 32, DD 6, 4 shots)"
    9-9     "Plasma Gun (R 40, DD 7, overheats on a 1)"
   10-10    "Conversion Beamer (R 48, DD 5 at short, DD 9 at long)"
   11-11    "Fusion Gun (R 16, DD 10)"
   12-12    "Las-Cannon (R 48, DD 9)"
)

Data-Slate
(   1D12
    1-12    "Data-Slate holding:" &
            (   1D12
                1-6     Archive-Record()
                7-9     Archive-Record() & Archive-Record()
               10-11    Archive-Record() & Archive-Record() & Archive-Record()
               12-12    Archive-Record() & Archive-Record() & Archive-Record() & Archive-Record()
            )
)

Archive-Record
(   2D12
    2-3     "the Sentinel's final augur sweep"
    4-4     "a Mechanicus override rite (opens one sealed door)"
    5-5     "deck plans of this level (reveal 3 unexplored sections)"
    6-6     "the roster of the lost garrison"
    7-8     "a reactor shutdown litany"
    9-10    "coordinates of a hidden armoury"
