; Sentinel V - what a hazard room holds.
;
; Four hundred years of Mechanicus machinery, six weeks abandoned, and
; whatever has moved into it since.

Hazards-Matrix
(   2D12
    2-2     Apparition()
    3-3     Rockfall()
    4-4     Well()
    5-5     Bridge()
    6-6     Room-Furnish() & Wandering-Monsters()
    7-7     Survivor()
    8-8     Chasm()
    9-9     Statue()
   10-10    Vermin()
   11-11    Mould()
   12-12    Mushrooms()
   13-13    Grate()
   14-14    Pool()
   15-15    Magic-Circle()
   16-16    Trapdoor()
   17-17    Throne()
   18-18    Slime()
   19-19    Cess-Pit()
   20-20    Tomb()
   21-21    Moths()
   22-22    Room-Furnish() & Wandering-Monsters()
   23-23    Statue()
   24-24    Apparition()
)

Vermin
(   1D12
    1-6     Rats()
    7-12    Bats()
)

Survivor
(   1D12
    1-3     Maiden & "Station Servitor, still obeying orders (Sp 4, WS 4, T 6, W 2)" & Wandering-Monsters()
    4-6     Witch & "Rogue Psyker, burnt out and dangerous (Sp 6, WS 5, T 4, W 2)" & "- or -" & Wandering-Monsters()
    7-9     Man-at-Arms & "Imperial Guardsman (Henchman: Sp 6, BS 6, WS 5, T 7, W 2)" & Wandering-Monsters()
   10-12    Rogue & "Tech-Adept of the Sentinel (Sergeant: Sp 6, BS 8, WS 7, T 9, W 3, F 1)" & "- or -" & Wandering-Monsters()
)

Chasm
(   1D12
    1-12    Chasm & "Hull Breach - open to vacuum below" & Wandering-Monsters() & Supply-Crate()
)

Rockfall
(   1D12
    1-12    Rockfall & "Collapsed Bulkhead (clear it in 1D6 turns, or find another route)"
)

Bridge
(   1D12
    1-12    Bridge & "Gantry Bridge over the shaft (Sp -2 while crossing)"
)

Well
(   1D12
    1-12    Well &
            (   1D12
                1-3     "Reactor Shaft: sealed"
                4-7     "Reactor Shaft: a working service lift"
                8-10    "Reactor Shaft: radiation leak (1 Wound per turn within 2 squares)"
               11-12    "Reactor Shaft: something is climbing up it" & Wandering-Monsters()
            )
)

Cess-Pit
(   1D12
    1-12    Cess-Pit & "Waste Sump (Sp halved, and any Wound taken here festers)"
)

Slime
(   1D12
    1-12    Slime & "Xenos residue, thick on every surface" & Wandering-Monsters()
)

Moths
(   1D12
    1-12    Moths & "Psyber-Moth Swarm (BS -2 for all in the section)"
)

Apparition
(   1D12
    1-12    Apparition &
            (   1D12
                1-4     "Warp Echo: the last stand of the garrison, replayed"
                5-8     "Warp Echo: a voice on the vox that has no source (F -1)"
                9-11    "Warp Echo: the machine-spirit of the Sentinel, pleading"
               12-12    "Warp Echo: a Farseer projection, watching in silence"
            )
)

Tomb
(   1D12
    1-12    Tomb &
            (   1D12
                1-3     "Stasis Casket: empty, opened from inside"
                4-7     "Stasis Casket: a dead Marine of an unknown Chapter" & Rare-Equipment()
                8-10    "Stasis Casket: the station Magos, preserved" & Data-Slate()
               11-12    "Stasis Casket: it opens as you pass" & Wandering-Monsters()
            )
)

Statue
(   1D12
    1-12    Statue &
            (   1D12
                1-2     "Sentinel Servitor: it fires on anything that moves"
                3-6     "Sentinel Servitor, reactivating (Sp 4, WS 8, BS 8, T 10, W 8, DD 5)"
                7-11    "Sentinel Servitor: broadcasts your position" & Wandering-Monsters()
               12-12    "Sentinel Servitor: dead machinery, nothing more"
            )
)

Rats
(   1D12
    1-12    Rats &
            (   2D12
                2-2     "10 Vermin"
                3-3     "15 Vermin"
                4-4     "20 Vermin"
                5-5     "25 Vermin"
                6-6     "30 Vermin"
                7-7     "35 Vermin"
                8-8     "40 Vermin"
                9-9     "45 Vermin"
               10-10    "50 Vermin"
               11-11    "55 Vermin"
               12-12    "60 Vermin"
               13-13    "65 Vermin"
               14-14    "70 Vermin"
               15-15    "75 Vermin"
               16-16    "80 Vermin"
               17-17    "85 Vermin"
               18-18    "90 Vermin"
               19-19    "95 Vermin"
               20-20    "100 Vermin"
               21-21    "105 Vermin"
               22-22    "110 Vermin"
               23-23    "115 Vermin"
               24-24    "120 Vermin"
            )
)

Bats
(   1D12
    1-12    Bats &
            (   1D12
                1-2     "Scrap-Bats (1 Wound)"
                3-4     "Scrap-Bats (2 Wounds)"
                5-6     "Scrap-Bats (3 Wounds)"
                7-8     "Scrap-Bats (4 Wounds)"
                9-10    "Scrap-Bats (5 Wounds)"
               11-12    "Scrap-Bats (6 Wounds)"
            )
)

Mould
(   1D12
    1-12    Mould & "Corrosive Fungus (eats through armour: T -1 while in contact)"
)

Mushrooms
(   1D12
    1-12    Mushrooms &
            (   1D12
                1-1     "1 Spore Pod:"
                2-2     "2 Spore Pods:"
                3-3     "3 Spore Pods:"
                4-4     "4 Spore Pods:"
                5-5     "5 Spore Pods:"
