; Sentinel V - layout for Deck 5, the Sentinel Core.
;
; The bottom of the station. There is no deck below this one, so the marked
; rooms hold a webway portal the Eldar opened rather than a shaft down; it
; is both the objective and the only way off Sentinel V. Held ground: short
; corridors, constant contact, and almost every room defended.

Passage-Length
(   1D12
    1-5     Section1
    6-11    Section2
   12-12    Section3
)

Passage-End
(   2D12
    2-4     T-Junction
    5-8     Dead-End
    9-12    Right-Turn
   13-15    T-Junction
   16-18    Left-Turn
   19-22    Stairs-Out
   23-24    T-Junction
)

Passage-Feature
(   2D12
    2-12    Wandering-Monsters
   13-15    Nothing
   16-19    Door1
   20-21    Door2
   22-24    Wandering-Monsters
)

Room-Type
(   1D12
    1-3     Normal
    4-5     Hazard
    6-9     Lair
   10-12    Quest
)

Room-Doors
(   1D12
    1-5     None
    6-9     Door1
   10-12    Door2
)

Secret-Doors
(   1D12
    1-2     None ;"1-Objective-Counter"
    3-7     None
    8-12    Door1
)

Room-or-Passage
(   1D6
    1-4     Room
    5-6     Passage
)

Normal
(   1D12
    1-12    Room-Furnish() & Hidden-Treasure()
)

Hazard
(   1D12
    1-12    Hazards-Matrix() & Hidden-Treasure()
)

Lair
(   1D12
    1-5     Chest & Lairs-Matrix() & Supply-Crate() & Hidden-Treasure()
    6-12    Chest & Quest-Rooms-Matrix() & Supply-Crate() & Hidden-Treasure()
)

Quest
(   1D12
    1-12    Stairs_and_Chest & "Webway Portal - Extraction Point" & Quest-Rooms-Matrix() & Supply-Crate() & Hidden-Treasure() & Room-Trap()
)
